Category,Name,Breast,CNS,LargeInt,Endometrium,Oesophagus,Liver,Ovary,Lung,Skin,Pancreas,UpAero,UrTract,Stomach
Degradation,Melatonin Degradation I,0.51621,0,0,0,0,0.491,0,0,0,0,0,0,0
Degradation,Nicotine Degradation III,0.50677,0,0,0,0,0,0,0,0,0,0,0,0
Degradation,Nicotine Degradation II,0.47768,0,0,0,0,0.47937,0,0,0,0,0,0,0
Degradation,Acetone Degradation I (to Methylglyoxal),0.56795,0,0,0,0,0.52341,0,0,0,0,0,0,0
Degradation,Bupropion Degradation,0.56795,0,0,0,0,0.52341,0,0,0,0,0,0,0
Degradation,Superpathway of Melatonin Degradation,0.45676,0,0,0.46714,0,0.42937,0,0,0,0,0,0,0
Degradation,Heme Degradation,0.94957,0,0,0,0,0,0,0,0,0,0,0,0
Metabolism,Oxidative Phosphorylation,0.36353,0,0,0,0.55773,-0.41629,-0.4921,-0.4904,0.40614,0,0,-0.33063,0
Degradation,Anandamide Degradation,0.98513,0,0,0,0,0,0,0,0,0,0,0,0
Degradation,Åê___-alanine Degradation I,0.97279,0,0,0,0,0,0,0,0,0,0,0,0
Biosynthesis,1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian),0.57782,0,0,0,0,0,0,0,0,0,0,0,0
Biosynthesis,"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis",0.57432,0,0,0,0,0,0,0,0,0,0,0,0
Biosynthesis,Stearate Biosynthesis I (Animals),0.46566,0,0,0,0,0,0,0,0,0,0,0,0
Inflammation,Acute Phase Response Signaling,-0.34341,0,0,0,0,0.32455,0,0,-0.344,0,0,0,0
Inflammation,Agranulocyte Adhesion and Diapedesis,-0.39078,0.31742,0.38885,0.29676,-0.44117,0.43265,0,0.51916,-0.37148,-0.29913,-0.33894,0,0
Cell Junctions and Interactions,Agrin Interactions at Neuromuscular Junction,-0.42049,0,0,0,0,0,0,0,-0.4306,0,0,-0.3568,0
Immune Related,Altered T Cell and B Cell Signaling in Rheumatoid Arthritis,-0.48214,0.3681,0,0,-0.50187,0,0,0.53593,-0.45354,-0.43692,-0.50551,0,0
"Cell Cycle, Division and Proliferation",Antiproliferative Role of Somatostatin Receptor 2,-0.39309,0,0,0,0,0,0,0,0,0,0,0,0
Cell Death,Apoptosis Signaling,-0.36998,0.30024,0,0,0,0,0,0,0,0,0,-0.39367,0
Cell Junctions and Interactions,Axonal Guidance Signaling,-0.35358,0,0,0.29087,0,0,0,0,0,0,0,-0.25638,0
Immune Related,B Cell Development,-0.60187,0,0,0,0,0,0,0.63148,0,0,0,0,0
Cell Signaling,BMP signaling pathway,-0.43198,0,0,0,0,0,0,0,0,0,0,-0.35829,0
Cell Signaling,Basal Cell Carcinoma Signaling,-0.47958,0,0,0,0,0,0,0,0,0,0.47667,0,0
Immune Related,CCR5 Signaling in Macrophages,-0.39784,0,0,0,0,0,0,0,0,0,0,-0.3613,0
"Cell Cycle, Division and Proliferation",Cell Cycle: G2/M DNA Damage Checkpoint Regulation,-0.42438,0,-0.4695,-0.60275,0.4458,-0.55549,-0.52852,0,0,0,0,0,0
Cancer Specific Pathways,Colorectal Cancer Metastasis Signaling,-0.34818,0,0,0,0,0,0,0,0,0,0,-0.28396,0
Cell Junctions and Interactions,Communication between Innate and Adaptive Immune Cells,-0.41632,0,0,0,-0.47641,0,0,0.48238,-0.41794,-0.46639,-0.5387,0,0
Immune Related,Complement System,-0.57132,0,0,0,0,0.57585,0.54008,0,0,0,0,0,0
