Drugs	Targets	Class	PossibleGDSC1000Class		
CIL55		screening hit	other		
BRD4132		screening hit	other		
BRD6340		screening hit	other		
BRD9876		screening hit	other		
betulinic acid		natural product; inhibitor of specificity protein 1 transcription factor in cells	other		
gossypol	BCL2;BCL2L1;LDHA;LDHB;LDHC	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	apoptosis regulation		
chlorambucil		DNA alkylator	DNA replication		
5-FU	TYMS	pyrimidine analog; inhibitor of thymidylate synthase	DNA replication		
cimetidine	HRH2	inhibitor of histidine receptor H2	other		
azacitidine	DNMT1	inhibitor of DNA methyltransferase	chromatin  histone methylation		
trifluoperazine	DRD2	antagonist of dopamine receptor D2	other		
paclitaxel		inhibitor of microtubule assembly	cytoskeleton		
Tamoxifen	ESR1;ESR2	modulator of estrogen receptors	other		
Carboplatin		inducer of DNA damage	DNA replication		
Teniposide	TOP2A;TOP2B	inhibitor of topoisomerase II	DNA replication		
Sildenafil	PDE5A	inhibitor of phosphodiesterase 5A	other		
simvastatin	HMGCR	inhibitor of HMG-CoA reductase	metabolism		
parbendazole		inhibitor of microtubule assembly	cytoskeleton		
procarbazine		inducer of DNA damage	DNA replication		
Curcumin		natural product; modulator of ROS; modulator of NF-kappa-B signaling	other		
ciclopirox	RRM1	substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase	other		
epigallocatechin-3-monogallate		natural product	other		
myricetin		flavonoid antioxidant	other		
Methotrexate	DHFR	inhibitor of dihydrofolate reductase	DNA replication		
lovastatin	HMGCR	inhibitor of HMG-CoA reductase	metabolism		
valdecoxib	PTGS2	inhibitor of cyclooxygenase-2 (COX2)	other		
dacarbazine		DNA alkylator	DNA replication		
prochlorperazine	DRD2	inhibitor of dopamine receptor D2	other		
ifosfamide		DNA alkylator	DNA replication		
Doxorubicin	TOP2A	inhibitor of topoisomerase II	DNA replication		
ouabain	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4	cardiac glycoside; inhibitor of the Na+/K+-ATPase	other		
BRD9647		screening hit	other		
