Category,Name,Genes (tot),Stat (dist.dir),Genes (up),Genes (down),pval,FDR
Degradation,Acetone Degradation I (to Methylglyoxal),23,0.66748,18,5,0.00025608,0.006181869
Degradation,Bupropion Degradation,23,0.66748,18,5,0.00025608,0.006181869
Biosynthesis,Retinoate Biosynthesis I,29,0.54494,22,7,0.0002666,0.006181869
Degradation,Nicotine Degradation III,42,0.62032,32,10,0.00028217,0.006181869
Degradation,Melatonin Degradation I,44,0.61665,34,10,0.00028369,0.006181869
Degradation,Nicotine Degradation II,48,0.62714,38,10,0.00029516,0.006181869
Degradation,Superpathway of Melatonin Degradation,49,0.60249,37,12,0.00029931,0.006181869
Degradation,Serotonin Degradation,51,0.47796,34,17,0.00030294,0.006181869
Cell Junctions and Interactions,Caveolar-mediated Endocytosis Signaling,64,0.45681,41,23,0.00031279,0.006189451
Cellular Functions,phagosome maturation,102,0.44646,59,43,0.00034783,0.006448031
Cell Signaling,FXR/RXR Activation,116,0.39969,86,30,0.00036193,0.006448031
Cellular Functions,Atherosclerosis Signaling,112,0.43944,80,32,0.00036536,0.006448031
Cell Signaling,LXR/RXR Activation,114,0.40745,80,34,0.00037523,0.006448031
Cell Junctions and Interactions,Granulocyte Adhesion and Diapedesis,147,0.41976,102,45,0.0004008,0.006710831
Inflammation,Agranulocyte Adhesion and Diapedesis,156,0.3437,104,52,0.00041982,0.006740327
Cellular Stress,Hepatic Fibrosis / Hepatic Stellate Cell Activation,177,0.37262,112,65,0.00044385,0.006740327
Immune Related,LPS/IL-1 Mediated Inhibition of RXR Function,195,0.37731,129,66,0.00046404,0.006886775
Biosynthesis,Estrogen Biosynthesis,34,0.54481,23,11,0.00080451,0.010721327
Degradation,Thyroid Hormone Metabolism II (via Conjugation and/or Degradation),24,0.57286,19,5,0.001049,0.013111998
Cellular Functions,Coagulation System,34,0.53777,22,12,0.0010727,0.013111998
Immune Related,Complement System,32,0.52568,25,7,0.0010843,0.013111998
Degradation,Dermatan Sulfate Degradation (Metazoa),15,0.68279,12,3,0.0012367,0.014668442
Immune Related,MIF-mediated Glucocorticoid Regulation,29,0.52654,22,7,0.001333,0.015007741
Inflammation,Pathogenesis of Multiple Sclerosis,6,0.83816,5,1,0.0013699,0.015102802
Cellular Functions,Xenobiotic Metabolism Signaling,241,0.26491,124,117,0.0020566,0.020983747
Cellular Stress,Unfolded protein response,51,0.42999,30,21,0.0021206,0.021303874
Immune Related,Graft-versus-Host Disease Signaling,25,0.55409,20,5,0.0034501,0.031731201
